Category,Hedis Measure,Hedis Measuer code,Age from,Age to,SMS
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Protect your child's future! Stay informed about their Immunization Status. Schedule regular vaccinations to safeguard their health. Contact your doctor for details."""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Hey there! Your child's health is precious. Keep track of their Immunization Status for a healthy and happy life. Get in touch with your healthcare provider today!"""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Don't miss out on securing your child's health. Stay updated on their Immunization Status. Vaccinate on time to shield them from preventable diseases. Act now!"""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Hi! Ensuring your child's Immunization Status is crucial. Keep a check on their vaccine schedule. Contact your doctor to discuss and maintain their health."""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Hello! Protect your little one with timely vaccinations. Be aware of their Immunization Status to safeguard against illnesses. Connect with your healthcare professional."""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Your child's health is a priority! Stay informed about their Immunization Status. Vaccinate according to schedule for a healthier tomorrow. Take action today!"""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Hey there! Secure your child's health by knowing their Immunization Status. Keep up with vaccinations to shield them from diseases. Reach out to your doctor."""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Make your child's health a priority! Stay updated on their Immunization Status. Ensure they receive recommended vaccines on time. Contact your healthcare provider!"""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Hi! Keep your child safe from diseases. Monitor their Immunization Status regularly. Schedule vaccinations promptly for their well-being. Take the first step now!"""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Don't overlook your child's Immunization Status! Vaccinate to protect against illnesses. Stay informed and consult your healthcare provider for guidance."""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Hello! Safeguard your child's health by tracking their Immunization Status. Ensure they receive necessary vaccines for a healthier and disease-free future."""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Protect your little one! Stay aware of their Immunization Status. Vaccinate according to schedule to shield them from preventable diseases. Act responsibly!"""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Hey there! Stay proactive about your child's health. Monitor their Immunization Status and ensure they receive all recommended vaccinations. Stay healthy!"""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Your child's well-being matters! Keep an eye on their Immunization Status. Vaccinate on time to build a strong defense against illnesses. Take action today!"""
Prevention and Screening,Childhood Immunization Status,CIS,2,,"""Hi! Don't compromise on your child's health. Stay informed about their Immunization Status. Contact your healthcare provider to discuss vaccination needs."""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hey there! Keep your teen healthy and protected. Stay updated on their immunizations for a resilient and disease-free future. Reach out to your healthcare provider today!"""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hello! Prioritize your teen's health by ensuring they're up-to-date on their immunizations. Schedule vaccinations to safeguard against illnesses. Act now!"""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hi! Your teen's health matters! Stay informed about their immunization schedule. Protect them from diseases by getting the recommended vaccinations. Contact your doctor!"""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Your teen's well-being is crucial! Stay aware of their immunization needs. Vaccinate on time to ensure their health and safety. Connect with your healthcare provider!"""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hello! Ensure your teen's health and resilience. Stay updated on their immunization requirements. Schedule vaccinations promptly for their overall well-being. Act today!"""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hey there! Strengthen your teen's immunity. Stay informed about their immunization schedule. Protect them from illnesses with timely vaccinations. Contact your doctor!"""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hi! Don't overlook your teen's immunizations. Keep track of their vaccine schedule to safeguard their health. Connect with your healthcare provider for guidance."""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hello! Keep your teen safe and healthy. Stay aware of their immunization needs. Vaccinate according to schedule for their well-being. Contact your doctor today!"""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hi! Prioritize your teen's health by staying updated on their immunizations. Ensure they receive recommended vaccines on time. Reach out to your healthcare provider!"""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Your teen's health is important! Stay informed about their immunization status. Protect them from diseases with timely vaccinations. Contact your healthcare provider!"""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hey there! Ensure your teen's future health. Stay proactive about their immunizations. Schedule vaccinations to shield them from preventable diseases. Act now!"""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hi! Don't compromise on your teen's health. Stay informed about their immunization needs. Contact your healthcare provider to discuss and schedule vaccinations."""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hello! Keep your teen protected from illnesses. Stay updated on their immunization schedule. Vaccinate on time for a healthy and resilient future. Act today!"""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hey there! Strengthen your teen's immune system. Stay aware of their immunization requirements. Connect with your healthcare provider for necessary vaccinations!"""
Prevention and Screening,Immunizations for Adolescents,IMA,13,,"""Hi! Don't delay in securing your teen's health. Stay informed about their immunization schedule. Contact your doctor and ensure they receive necessary vaccinations."""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hey there! Protect your child's health. Learn about Lead Screening - an essential step to safeguard them from lead exposure. Contact your healthcare provider for details."""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hello! Ensure your child's well-being. Stay informed about Lead Screening - a crucial tool to detect and prevent lead exposure. Connect with your doctor for guidance."""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hi! Your child's health matters! Learn about Lead Screening to prevent lead poisoning. Schedule a screening today for their safety. Contact your healthcare provider!"""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hey! Keep your child safe from lead exposure. Understand the importance of Lead Screening for their health. Reach out to your healthcare provider for information."""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hello! Don't overlook Lead Screening for your child. Protect them from lead poisoning. Stay informed and consult your healthcare provider for necessary screenings."""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hi there! Prioritize your child's health by learning about Lead Screening. Detect and prevent lead exposure early. Contact your doctor to schedule a screening!"""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hey! Safeguard your child's health. Understand the significance of Lead Screening. Take proactive steps and discuss this crucial screening with your healthcare provider."""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hello! Ensure a healthy environment for your child. Learn about Lead Screening - an important step in preventing lead exposure. Connect with your doctor for guidance."""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hi! Protect your child from lead-related health risks. Stay informed about Lead Screening. Schedule a screening to ensure their well-being. Contact your healthcare provider!"""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hey there! Don't compromise on your child's health. Educate yourself about Lead Screening. Take action and discuss this important screening with your healthcare provider."""
