Category,Hedis Measures,IVR
Prevention and Screening,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/ Adolescents,What is your child's current height and weight? Are you aware of any recent changes in their growth or weight?
Prevention and Screening,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/ Adolescents,Have you discussed your child's physical activity levels or exercise routines during healthcare visits?
Prevention and Screening,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/ Adolescents,Have you been advised to follow up on any pending or upcoming vaccinations for your child's age or school requirements?
Prevention and Screening,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/ Adolescents,Has there been any discussion about other vaccines like HPV (human papillomavirus) or MenACWY (meningococcal) during your child's healthcare visits?
Prevention and Screening,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/ Adolescents,Are there any specific dietary patterns or concerns that have been addressed for your child's overall health?
Prevention and Screening,Childhood Immunization Status,"Has your child received vaccines like DTaP (diphtheria, tetanus, and pertussis), MMR (measles, mumps, and rubella), and IPV (polio) as per the recommended schedule?"
Prevention and Screening,Childhood Immunization Status,Can you confirm if your child has received the Hepatitis B vaccine and the dates of administration?
Prevention and Screening,Childhood Immunization Status,Are there upcoming vaccinations scheduled or recommended for your child?
Prevention and Screening,Childhood Immunization Status,Is your child up-to-date with vaccinations like PCV13 (pneumococcal conjugate) and RV (rotavirus)?
Prevention and Screening,Childhood Immunization Status,Are you aware of any vaccinations your child may have missed or not received as per the recommended schedule?
Prevention and Screening,Childhood Immunization Status,Can you provide a list of vaccines your child has received?
Prevention and Screening,Childhood Immunization Status,Has your child received vaccines for varicella (chickenpox) and Hib (Haemophilus influenzae type b) according to the recommended schedule?
Prevention and Screening,Immunizations for Adolescents,"Has your adolescent received the HPV (human papillomavirus) vaccine series, and if yes, have they completed the recommended doses?"
Prevention and Screening,Immunizations for Adolescents,"Has your adolescent received the Tdap (tetanus, diphtheria, and pertussis) vaccine recently or according to the recommended schedule?"
Prevention and Screening,Immunizations for Adolescents,Has your adolescent received the annual flu (influenza) vaccine during the past flu seasons?
Prevention and Screening,Immunizations for Adolescents,"Has your adolescent received the COVID-19 vaccine, and if yes, when did they receive it?"
Prevention and Screening,Immunizations for Adolescents,Can you confirm if your adolescent has received the Tdap vaccine recently or as per the recommended schedule?
Prevention and Screening,Lead Screening in Children,"Has your child undergone lead screening tests recently? If so, when was the most recent test conducted?"
Prevention and Screening,Lead Screening in Children,Has your child been tested for lead exposure during routine healthcare visits in the past year?
Prevention and Screening,Lead Screening in Children,Have you received information or guidance on lead exposure prevention and its impact on children's health?
Prevention and Screening,Cervical Cancer ScreeningCCS,"Have you undergone a cervical cancer screening (Pap test) in the past few years? If so, when was your most recent screening?"
Prevention and Screening,Cervical Cancer ScreeningCCS,"Have you received the HPV (human papillomavirus) test along with your cervical cancer screening, if recommended for your age group?"
Prevention and Screening,Cervical Cancer ScreeningCCS,Have you received any reminders or educational materials about cervical cancer screening from your healthcare provider?
Prevention and Screening,Cervical Cancer ScreeningCCS,Have you had any concerns or reservations about cervical cancer screening that you'd like to discuss?
Prevention and Screening,Cervical Cancer ScreeningCCS,Can you confirm the date of your last cervical cancer screening?
Prevention and Screening,Cervical Cancer ScreeningCCS,Do you understand the significance of both Pap tests and HPV tests in cervical cancer screening?
Prevention and Screening,Cervical Cancer ScreeningCCS,Have you encountered any barriers preventing you from getting cervical cancer screening?
Prevention and Screening,Cervical Cancer ScreeningCCS,Are you up-to-date with your recommended cervical cancer screenings based on your age and health history?
Prevention and Screening,Colorectal Cancer Screening,"Have you undergone any colorectal cancer screening tests, such as a colonoscopy, sigmoidoscopy, or stool-based tests, in the past few years?"
Prevention and Screening,Colorectal Cancer Screening,Have you experienced any symptoms or changes that might prompt additional colorectal cancer screening?
Prevention and Screening,Colorectal Cancer Screening,Have you experienced any symptoms or changes that might warrant further colorectal cancer screening?
Prevention and Screening,Colorectal Cancer Screening,Are you familiar with the potential risks associated with not undergoing regular colorectal cancer screenings?
Prevention and Screening,Colorectal Cancer Screening,Can you share any recent efforts you've made to ensure you're up-to-date with your colorectal cancer screening as recommended?
Prevention and Screening,Chlamydia Screening in Women,Can you recall when was your most recent Chlamydia screening performed?
Prevention and Screening,Chlamydia Screening in Women,Are you aware of any potential risk factors that might prompt more frequent Chlamydia screening?
Prevention and Screening,Care for Older Adults,Have you had a comprehensive review of your medications within the past year?
Prevention and Screening,Care for Older Adults,Have you undergone any assessments or discussions related to pain management during your healthcare visits in the past year?
Prevention and Screening,"Oral Evaluation, Dental Services",Can you recall the date of your most recent dental visit or oral examination?
Prevention and Screening,"Oral Evaluation, Dental Services",Have you experienced any oral pain or dental problems since your last visit that required attention?
Prevention and Screening,Topical Fluoride for Children,Has your child received topical fluoride treatments at their dental visits in the past year?
Prevention and Screening,Topical Fluoride for Children,Were there specific recommendations or discussions about topical fluoride treatments for your child's dental health during recent dental visits?
Respiratory Conditions,Appropriate Testing for Pharyngitis,Have you undergone appropriate testing as recommended by your healthcare provider for your recent throat discomfort or sore throat?
Respiratory Conditions,Appropriate Testing for Pharyngitis,Did you receive the necessary tests suggested by your doctor to diagnose your recent throat symptoms appropriately?
Respiratory Conditions,Use of Spirometry Testing in the Assessment and Diagnosis of COPD,Have you undergone spirometry testing as part of the assessment or diagnosis process for any respiratory symptoms or breathing difficulties?
Respiratory Conditions,Use of Spirometry Testing in the Assessment and Diagnosis of COPD,Did your healthcare provider use spirometry testing during your assessment or diagnosis for any potential chronic respiratory conditions?
Respiratory Conditions,Use of Spirometry Testing in the Assessment and Diagnosis of COPD,
Respiratory Conditions,Use of Spirometry Testing in the Assessment and Diagnosis of COPD,
Respiratory Conditions,Use of Spirometry Testing in the Assessment and Diagnosis of COPD,
Respiratory Conditions,Pharmacotherapy Management of COPD Exacerbation,Have you received appropriate medication or treatment for managing COPD exacerbations as advised by your healthcare provider?
Respiratory Conditions,Pharmacotherapy Management of COPD Exacerbation,Did your doctor provide medications or therapies to address COPD exacerbations during your recent respiratory distress episodes?
Respiratory Conditions,Asthma Medication Ratio,Have you consistently used your prescribed asthma medications as directed by your healthcare provider?
Respiratory Conditions,Asthma Medication Ratio,Did you follow your healthcare provider's recommendations for using asthma medications regularly to manage your symptoms?
Respiratory Conditions,Asthma Medication Ratio,How frequently were the prescribed asthma medications used or refilled during the measurement year?
Respiratory Conditions,Asthma Medication Ratio,Were there any periods of non-usage or gaps in taking the asthma medications?
Cardiovascular Conditions,Controlling High Blood Pressure,Have you been consistently monitoring and managing your blood pressure as advised by your healthcare provider?
